ID,Target,DataSource1_Feature1,DataSource1_Feature2,DataSource1_Feature3,DataSource2_Feature1,DataSource2_Feature2,DataSource2_Feature3,DataSource2_Feature4,DataSource2_Feature5,DataSource2_Feature6,DataSource2_Feature7,DataSource2_Feature8,DataSource2_Feature9,DataSource3_Feature1,DataSource3_Feature2,DataSource3_Feature3,DataSource4_Feature1,DataSource4_Feature2,DataSource4_Feature3,DataSource4_Feature4,DataSource4_Feature5,DataSource4_Feature6
2118934306,0,EA,B,A,109.02615,0.8151142,0.8151142,850600.0,126630.0,8.437,0.7292,0.0459,0.1523,,,,1.0,0.06,0.79,0.83,0.67,1
-1851966017,0,EA,A,A,63.2631,-0.92290926,-0.92290926,450800.0,110650.0,7.944,0.8641,0.0114,0.0378,,,,0.9,0.07,0.74,0.11,0.95,2
-667794958,0,EA,A,A,27.82915,-0.7424998,-0.7424998,895400.0,191513.0,7.306,0.8989,0.0157,0.0437,,,,0.64,0.13,0.34,0.95,0.58,2
1590048025,0,EA,A,A,67.13022,-0.881995,-0.881995,599700.0,146103.0,8.105,0.8177,0.0099,0.1129,0.0,11.88,B,0.95,0.12,0.68,0.55,0.87,1
-548884395,0,RD,A,A,99.59463,0.7922591,0.7922591,537200.0,109490.0,7.702,0.8479,0.0251,0.0787,,,,0.83,0.17,0.09,0.52,0.45,4
-104840122,0,EA,B,A,121.84826,0.92980367,0.92980367,629000.0,128333.0,6.456,0.9597,0.0062,0.014,,,,0.82,0.13,0.22,0.81,0.95,2
-937781459,0,RD,B,A,28.48077,0.49227887,0.49227887,157300.0,52857.0,8.005,0.3317,0.2586,0.0413,0.0,13.99,A,0.13,0.42,0.35,0.17,0.47,G
497672534,0,EA,B,A,13.77177,-0.83388966,-0.83388966,345200.0,109091.0,6.076,0.9109,0.0113,0.0418,,,,0.7,0.08,0.21,0.94,0.91,1
760671883,0,RD,B,A,30.40862,-0.7709028,-0.7709028,1153900.0,186290.0,7.189,0.893,0.0146,0.0469,1.0,1.95,C,0.99,0.01,0.17,0.95,0.64,2
1168008751,0,RD,A,A,109.45372,0.91683143,0.91683143,331500.0,86922.0,6.687,0.9358,0.0209,0.0128,0.0,14.95,A,0.63,0.19,0.86,0.68,0.33,E
827527345,0,EA,A,A,42.66348,-0.9704449,-0.9704449,739000.0,175833.0,6.04,0.8779,0.0134,0.0287,,,,0.85,0.06,0.09,0.86,0.76,2
-1055143016,1,EA,A,A,85.42671,0.70689356,0.70689356,398000.0,106108.0,7.44,0.7744,0.0204,0.1574,0.0,15.29,A,0.88,0.09,0.42,0.88,0.9,4
-1664720016,0,EA,B,A,12.04413,-0.6006136,-0.6006136,389800.0,117215.0,6.701,0.8651,0.0172,0.0777,0.0,11.64,B,0.86,0.01,0.92,0.96,0.81,2
1402342727,0,EA,A,A,209.59837,0.46922186,0.46922186,184500.0,48065.0,3.86,0.9347,0.0122,0.0311,,,,0.72,0.29,0.82,0.57,0.56,H
-540957957,0,RD,B,A,74.39916,0.99488264,0.99488264,430700.0,133526.0,5.959,0.9452,0.0119,0.0164,,,,0.89,0.07,0.78,0.67,0.98,1
1154981675,0,EA,B,A,73.99202,-0.92764795,-0.92764795,955000.0,159883.0,7.026,0.8482,0.0155,0.0784,0.0,10.98,A,0.94,0.06,0.47,0.51,0.74,2
1198982741,0,ED,A,A,76.63769,0.9262835,0.9262835,221600.0,64014.0,7.11,0.869,0.0248,0.0221,,,,0.89,0.1,0.14,0.07,0.56,4
581634530,0,RD,A,A,106.15913,0.8981138,0.8981138,258900.0,49693.0,8.498,0.3864,0.329,0.0264,,,,0.5,0.31,0.04,0.89,0.92,H
-460473325,1,EA,A,A,89.49409,0.902303,0.902303,346300.0,87561.0,7.307,0.9001,0.0203,0.0398,,,,0.77,0.1,0.05,0.96,0.82,2
1251709259,0,EA,A,A,86.35012,-0.9252078,-0.9252078,457600.0,111380.0,6.701,0.7784,0.0358,0.0884,0.0,11.97,B,0.5,0.22,0.31,0.38,0.22,2
1479097874,0,RD,B,A,71.4504,-0.89916635,-0.89916635,631900.0,166450.0,8.362,0.8352,0.0159,0.0952,,,,0.85,0.12,0.06,0.87,0.86,2
-175502865,0,EA,A,A,144.32505,-0.79350936,-0.79350936,392600.0,101496.0,7.42,0.8632,0.0158,0.0864,0.0,12.36,B,0.84,0.12,0.22,0.4,0.98,4
1470844239,1,EA,B,A,122.10514,0.6561888,0.6561888,340600.0,103940.0,6.196,0.9426,0.0081,0.0209,,,,0.5,0.17,0.38,0.9,0.92,4
-1768594574,0,RD,B,A,42.61453,0.9763679,0.9763679,163700.0,56177.0,7.24,0.6153,0.112,0.0767,0.0,13.04,A,0.34,0.21,0.97,0.13,0.03,L
725993238,0,EA,A,A,109.52082,-0.7329355,-0.7329355,338600.0,82451.0,6.811,0.7554,0.0461,0.1122,,,,0.91,0.01,0.21,0.94,0.98,2
113901510,0,EA,A,A,100.51507,-0.831034,-0.831034,345000.0,96585.0,7.907,0.6313,0.0576,0.1091,,,,0.64,0.11,0.25,0.64,0.81,2
-1941735212,0,EA,A,A,85.79615,-0.83949035,-0.83949035,510300.0,131607.0,8.833,0.5322,0.3374,0.0395,,,,0.9,0.07,0.22,0.46,0.43,2
1897893246,0,EA,A,A,122.3927,0.9151487,0.9151487,442900.0,95168.0,6.774,0.9553,0.0074,0.0097,,,,,,,,,
793489172,0,RD,A,A,10.61827,-0.3198507,-0.3198507,194400.0,58112.0,8.551,0.5601,0.1772,0.036,,,,0.23,0.29,0.5,0.09,0.1,1
-1395755867,0,RD,A,A,109.02615,0.8151142,0.8151142,850600.0,126630.0,8.437,0.7292,0.0459,0.1523,,,,0.82,0.09,0.66,0.22,0.81,2
695871074,0,EA,B,A,42.71923,0.40376684,0.40376684,185700.0,76423.0,7.201,0.8079,0.0656,0.0218,,,,0.22,0.28,0.28,0.5,0.09,4
206353905,0,EA,A,A,111.504,0.83758247,0.83758247,385200.0,53174.0,9.678,0.1906,0.5174,0.0565,,,,0.54,0.19,0.36,0.5,0.66,4
986410424,0,RD,A,A,92.27599,0.8070261,0.8070261,435600.0,125625.0,6.589,0.9299,0.011,0.0298,,,,0.88,0.1,0.38,0.74,0.9,2
112365539,0,EA,A,A,84.2414,0.8223529,0.8223529,442500.0,132063.0,5.798,0.9598,0.0052,0.0132,,,,0.8,0.22,0.13,0.88,0.72,2
-372333372,0,EA,A,A,186.23712,0.18068892,0.18068892,163500.0,72841.0,3.813,0.9628,0.0083,0.0,,,,0.27,0.28,0.52,0.73,0.01,E
-1962229192,0,EA,A,A,46.37812,-0.8653477,-0.8653477,1156300.0,155417.0,6.288,0.8433,0.0127,0.0553,,,,,,,,,
440445000,0,EA,B,A,89.58849,0.852069,0.852069,420000.0,115355.0,7.08,0.9086,0.018,0.0433,,,,0.81,0.11,0.1,0.11,0.96,E
1814431552,1,RD,B,A,72.67133,-0.75768363,-0.75768363,818200.0,85111.0,10.088,0.7255,0.0243,0.0512,,,,0.92,0.04,0.19,0.89,0.78,3
-339090246,0,RD,A,A,20.38422,0.9137356,0.9137356,287900.0,76526.0,6.707,0.9013,0.0088,0.0209,,,,0.57,0.15,0.88,0.9,0.2,2
-389926554,0,EA,A,A,59.19922,0.7682279,0.7682279,265400.0,89055.0,4.836,0.9597,0.0051,0.0093,,,,0.97,0.01,0.1,0.89,0.25,2
1802256229,1,RD,A,A,102.88782,-0.43712032,-0.43712032,242700.0,79107.0,7.308,0.8151,0.0596,0.0742,,,,0.56,0.15,0.41,0.92,0.47,2
-2054642400,0,EA,B,A,93.1894,-0.9470196,-0.9470196,301600.0,93180.0,7.116,0.7908,0.0262,0.0818,,,,0.88,0.01,0.43,0.41,0.54,2
1071766413,0,EA,A,A,10.65706,0.4756976,0.4756976,293500.0,80073.0,7.179,0.8816,0.0231,0.0385,,,,0.7,0.15,0.22,0.76,0.95,2
-1299168821,1,RD,B,A,75.068,0.97651637,0.97651637,392600.0,103873.0,6.72,0.9203,0.011,0.0387,,,,0.98,0.01,0.38,0.76,0.71,1
2119266920,0,EA,A,A,290.83515,0.5848255,0.5848255,114400.0,50893.0,4.479,0.9214,0.0141,0.0267,1.0,8.11,C,0.33,0.34,0.81,0.23,0.36,H
1194952531,1,RD,B,A,10.61827,-0.3198507,-0.3198507,194400.0,58112.0,8.551,0.5601,0.1772,0.036,,,,0.38,0.41,0.37,0.67,0.86,2
1497986500,0,RD,B,A,113.2478,0.830581,0.830581,408900.0,56318.0,9.656,0.2932,0.2772,0.0947,,,,0.19,0.53,0.97,0.17,0.47,H
43565799,0,EA,A,A,46.37812,-0.8653477,-0.8653477,1156300.0,155417.0,6.288,0.8433,0.0127,0.0553,0.0,13.49,A,0.59,0.21,0.9,0.22,0.43,M
1208261004,0,RD,A,A,43.92259,-0.8266357,-0.8266357,1094000.0,148095.0,7.729,0.811,0.0121,0.0899,,,,0.91,0.01,0.32,0.95,0.86,2
1465530232,0,RD,A,A,79.47935,0.9224124,0.9224124,202400.0,58014.0,8.741,0.8025,0.0522,0.0216,0.0,12.44,B,0.13,0.46,0.27,0.41,0.42,3
1675815272,0,EA,B,A,276.84579,-0.8015232,-0.8015232,534600.0,71569.0,9.394,0.1357,0.5479,0.0148,1.0,6.99,C,0.09,0.63,0.75,0.17,0.16,G
-1545987689,0,EA,B,A,122.96035,0.7148231,0.7148231,608400.0,148125.0,6.983,0.8242,0.0152,0.1069,1.0,14.21,C,0.87,0.09,0.16,0.93,0.79,2
-1519426344,0,RD,B,A,1138.09788,-0.4945708,-0.4945708,173400.0,54280.0,7.159,0.6563,0.0678,0.0159,,,,0.53,0.33,0.7,0.82,0.32,H
-831024831,0,RD,B,A,95.81087,0.89759725,0.89759725,394200.0,114720.0,7.051,0.8952,0.0311,0.0388,0.0,12.28,A,0.99,0.01,0.44,0.96,0.78,2
355793979,0,RD,B,A,79.84265,-0.66826683,-0.66826683,570900.0,103580.0,7.361,0.9604,0.0024,0.0074,,,,0.75,0.23,0.55,0.79,0.99,1
1032221430,0,EA,A,A,17.71143,-0.64188886,-0.64188886,274500.0,89132.0,6.293,0.9245,0.0148,0.0181,,,,0.69,0.12,0.41,0.73,0.91,2
-418716231,0,EA,B,A,109.60288,0.7817873,0.7817873,527100.0,86197.0,8.255,0.7437,0.063,0.1033,,,,0.77,0.21,0.24,0.96,0.94,2
-345313429,1,RD,A,A,19.47289,0.27275518,0.27275518,158100.0,50698.0,8.379,0.5444,0.0944,0.0335,,,,0.31,0.19,0.81,0.89,0.02,E
-2009858259,1,ED,A,A,55.50428,-0.84735143,-0.84735143,927800.0,201232.0,8.056,0.7749,0.0222,0.1384,,,,0.96,0.01,0.87,0.63,0.15,1
864527855,0,EA,B,A,15.47051,0.8108884,0.8108884,227000.0,67651.0,7.058,0.702,0.1344,0.0511,,,,0.8,0.07,0.12,0.94,0.52,2
551435343,0,EA,A,A,99.38395,-0.72092843,-0.72092843,358200.0,103580.0,7.806,0.738,0.0592,0.0946,,,,0.68,0.13,0.56,0.74,0.98,2
500268982,0,RD,A,A,27.0047,0.53523207,0.53523207,164700.0,57346.0,7.909,0.4958,0.1753,0.0565,,,,0.82,0.11,0.19,0.42,0.63,1
824424535,0,EA,B,A,2444.56919,-0.89139897,-0.89139897,494600.0,80144.0,5.665,0.8858,0.0145,0.0259,,,,0.95,0.01,0.44,0.45,0.42,2
-957078334,0,EA,A,A,26.3977,-0.7695127,-0.7695127,680000.0,144360.0,7.429,0.8936,0.0167,0.036,,,,1.0,0.01,0.34,0.92,0.86,2
-1880394218,0,EA,A,A,288.11997,-0.7847895,-0.7847895,436800.0,76610.0,8.404,0.3624,0.2158,0.0728,1.0,13.71,C,0.97,0.04,0.06,0.91,0.81,1
1068234937,0,EA,A,A,106.40706,0.92928565,0.92928565,351100.0,92289.0,6.883,0.8796,0.0539,0.0152,0.0,16.63,A,0.72,0.15,0.19,0.76,0.67,E
-1157408799,1,EA,A,A,0.69776,-0.99122924,-0.99122924,252000.0,76938.0,7.103,0.7926,0.0763,0.0641,,,,0.49,0.25,0.45,0.24,0.23,3
418525498,1,ED,A,A,251.05886,-0.8057438,-0.8057438,313100.0,94494.0,7.304,0.8698,0.0364,0.0471,,,,0.92,0.06,0.34,0.76,0.93,1
1644019311,0,EA,A,A,65.32806,0.9732188,0.9732188,333300.0,106058.0,4.814,0.9385,0.011,0.0167,,,,0.96,0.06,0.06,0.92,0.77,2
1832276827,0,RD,A,A,64.29849,0.39114735,0.39114735,272500.0,93300.0,5.633,0.9119,0.0207,0.0242,0.0,14.66,A,0.9,0.21,0.27,0.87,0.78,4
-1457121218,0,RD,A,A,82.6511,0.9043714,0.9043714,315100.0,85865.0,6.927,0.8825,0.021,0.0356,,,,0.74,0.01,0.76,0.7,0.31,E
802901519,0,EA,A,A,98.30333,-0.68497723,-0.68497723,647100.0,154187.0,6.847,0.7483,0.0103,0.195,0.0,11.89,B,0.92,0.12,0.37,0.56,0.92,2
550803119,0,EA,A,A,119.95748,0.6267931,0.6267931,279700.0,95992.0,6.764,0.9027,0.0173,0.0341,,,,0.51,0.21,0.79,0.99,0.62,E
860629698,0,EA,A,A,126.97643,0.7232094,0.7232094,484500.0,109371.0,6.984,0.8455,0.0199,0.0659,,,,0.95,0.04,0.1,0.95,0.92,2
1922541454,0,EA,A,A,161.36414,-0.7944195,-0.7944195,319000.0,102285.0,8.773,0.9028,0.0248,0.048,,,,0.91,0.09,0.43,0.84,0.91,4
-599157224,0,EA,A,A,81.7067,-0.7783129,-0.7783129,320300.0,59924.0,9.285,0.5551,0.0806,0.0655,0.0,13.39,A,0.13,0.57,0.59,0.32,0.32,H
-488581824,0,EA,A,A,92.99891,-0.96505016,-0.96505016,371700.0,130273.0,6.329,0.892,0.0133,0.0302,1.0,11.48,C,0.52,0.38,0.17,0.72,0.97,1
1810443186,0,RD,B,A,70.4497,-0.8555974,-0.8555974,298500.0,67188.0,9.235,0.3556,0.1857,0.0799,,,,0.39,0.32,0.8,0.44,0.22,4
-1255465562,0,RD,B,A,10.65706,0.4756976,0.4756976,293500.0,80073.0,7.179,0.8816,0.0231,0.0385,,,,0.48,0.29,0.51,0.92,0.86,F
106671945,0,EA,A,A,68.56965,-0.9955708,-0.9955708,322200.0,76637.0,7.169,0.8291,0.0283,0.0246,,,,0.66,0.21,0.65,0.85,0.98,2
-1358542370,0,EA,A,A,97.76555,0.7631503,0.7631503,408800.0,111169.0,7.518,0.7958,0.0414,0.0673,0.0,15.22,A,0.5,0.38,0.66,0.23,0.52,L
606869639,0,EA,A,A,117.16786,0.69369525,0.69369525,263700.0,54377.0,8.816,0.5974,0.0636,0.1006,0.0,14.37,D,0.94,0.05,0.06,0.31,0.91,2
420309214,0,RD,A,A,75.13332,0.9462306,0.9462306,348300.0,103094.0,6.846,0.9019,0.0148,0.0431,,,,0.89,0.05,0.09,0.74,0.96,1
529374212,0,EA,A,A,230.79814,0.58876806,0.58876806,140100.0,41371.0,6.978,0.8495,0.0956,0.0142,,,,0.5,0.21,0.95,0.42,0.56,H
391702364,0,EA,A,A,129.77707,0.9889216,0.9889216,354600.0,84563.0,6.669,0.9189,0.0216,0.0114,,,,0.7,0.16,0.34,0.96,0.93,4
1030094052,0,RD,B,A,119.46589,0.51089513,0.51089513,325200.0,113125.0,5.006,0.9588,0.0062,0.0152,,,,0.84,0.12,0.12,0.95,0.34,2
-1540189008,0,RD,B,A,60.56552,-0.98182434,-0.98182434,366100.0,105437.0,6.309,0.7626,0.0425,0.0303,,,,0.49,0.27,0.22,0.9,0.93,2
1842461946,0,EA,B,A,104.6181,-0.7661409,-0.7661409,389300.0,109041.0,7.719,0.6471,0.0429,0.2213,,,,0.61,0.22,0.58,0.85,0.69,1
1540166514,1,EA,A,A,120.07105,0.7600517,0.7600517,534100.0,112836.0,7.786,0.9269,0.0085,0.0427,0.0,14.56,A,0.95,0.01,0.12,0.97,0.62,2
626994899,1,EA,A,A,32.15268,-0.97153807,-0.97153807,655800.0,158441.0,6.571,0.9036,0.0088,0.0391,,,,0.96,0.01,0.04,0.78,0.58,2
-772836134,0,RD,B,A,87.30456,-0.8842174,-0.8842174,584400.0,129659.0,7.255,0.8074,0.0102,0.1178,,,,0.57,0.28,0.95,0.11,0.43,4
-397995364,0,RD,A,A,7.21776,-0.7752149,-0.7752149,471400.0,142188.0,6.171,0.843,0.0227,0.0911,0.0,11.64,B,0.82,0.17,0.69,0.16,0.71,2
1450190370,0,EA,A,A,63.98445,0.99984115,0.99984115,309800.0,79019.0,5.374,0.9308,0.01,0.0126,,,,0.51,0.26,0.16,0.68,0.09,4
750922752,0,EA,A,A,85.42671,0.70689356,0.70689356,398000.0,106108.0,7.44,0.7744,0.0204,0.1574,,,,0.92,0.04,0.45,0.59,0.95,2
-1401586703,0,RD,A,A,15.47051,0.8108884,0.8108884,227000.0,67651.0,7.058,0.702,0.1344,0.0511,,,,0.07,0.78,0.6,0.61,0.37,2
-1575252314,0,EA,A,A,213.57993,-0.036598757,-0.036598757,287500.0,80807.0,6.165,0.912,0.0198,0.0396,0.0,12.18,A,0.83,0.1,0.44,0.26,0.64,2
32762128,0,RD,A,A,18.32089,-0.9575848,-0.9575848,362400.0,115049.0,6.618,0.8982,0.0178,0.0254,,,,0.66,0.15,0.42,0.2,0.93,2
-789923256,1,EA,A,A,46.36914,0.24195836,0.24195836,243000.0,74139.0,6.896,0.9288,0.0132,0.0146,,,,0.68,0.12,0.39,0.64,0.98,2
1507610254,0,RD,A,A,108.80758,0.6047729,0.6047729,338900.0,96750.0,6.235,0.9475,0.0088,0.0168,,,,0.82,0.1,0.14,0.65,0.11,2
-850870615,1,EA,B,A,51.68596,-0.61719984,-0.61719984,686000.0,168902.0,7.567,0.7268,0.0103,0.2119,0.0,10.26,A,0.84,0.01,0.17,0.58,0.93,1
-203214629,0,RD,A,A,21.9814,-0.7510467,-0.7510467,173000.0,56607.0,9.075,0.3508,0.2619,0.0232,,,,0.67,0.28,0.36,0.59,0.39,3
1140577228,0,RD,B,A,94.94077,-0.67303276,-0.67303276,437500.0,116076.0,7.648,0.8777,0.0158,0.0373,,,,0.59,0.18,0.22,0.62,0.79,2
2117439839,0,EA,A,A,100.73128,-0.8840944,-0.8840944,743800.0,159970.0,6.44,0.8166,0.0108,0.0353,,,,0.91,0.01,0.27,0.74,0.6,2
2006843523,0,EA,B,A,295.26155,-0.81155,-0.81155,581200.0,119624.0,7.979,0.5786,0.0745,0.1902,1.0,5.35,C,1.0,0.08,0.22,0.96,0.79,1
-1950429803,0,EA,B,A,66.5259,-0.9062855,-0.9062855,552100.0,140694.0,8.163,0.829,0.0126,0.062,,,,0.83,0.14,0.87,0.64,0.89,2
1931621396,0,EA,A,A,114.20795,-0.8119239,-0.8119239,653700.0,199750.0,6.789,0.6081,0.0399,0.2932,0.0,13.58,B,1.0,0.01,0.57,0.77,0.75,2
-150294963,0,EA,B,A,126.20053,0.68751156,0.68751156,324300.0,74912.0,7.663,0.6947,0.0324,0.0356,0.0,13.62,B,0.4,0.15,0.6,0.06,0.7,3
-549667415,0,EA,A,A,108.55822,0.9744743,0.9744743,403300.0,102254.0,5.071,0.9462,0.014,0.0111,,,,0.9,0.11,0.42,0.78,0.39,2
1599350219,0,RD,A,A,18.32089,-0.9575848,-0.9575848,362400.0,115049.0,6.618,0.8982,0.0178,0.0254,,,,0.77,0.11,0.56,0.01,0.97,2
-795792625,0,EA,A,A,83.77005,0.9228441,0.9228441,179400.0,41638.0,9.032,0.4591,0.172,0.0171,1.0,14.11,C,0.53,0.13,0.66,0.56,0.3,H
322349636,0,EA,B,A,118.49481,-0.90045935,-0.90045935,357600.0,98281.0,6.909,0.7622,0.0833,0.0651,0.0,12.35,A,1.0,0.01,0.66,0.62,0.66,2
-1528398337,0,RD,A,A,7.33705,-0.5336584,-0.5336584,217600.0,53928.0,8.233,0.4619,0.3487,0.0288,,,,0.57,0.18,0.37,0.62,0.41,1
2071926826,1,RD,A,A,89.58849,0.852069,0.852069,420000.0,115355.0,7.08,0.9086,0.018,0.0433,,,,0.82,0.08,0.7,0.14,0.79,2
65480818,0,RD,B,A,346.13238,-0.5737662,-0.5737662,236100.0,52765.0,7.392,0.8946,0.0635,0.0137,,,,0.52,0.21,0.07,0.73,0.47,2
834095532,0,RD,A,A,87.30456,-0.8842174,-0.8842174,584400.0,129659.0,7.255,0.8074,0.0102,0.1178,,,,0.88,0.07,0.54,0.81,0.85,2
-252485273,1,EA,A,A,34.27321,0.996637,0.996637,350500.0,119679.0,5.644,0.8265,0.0153,0.1085,,,,1.0,0.01,0.69,0.84,0.86,2
823712766,0,EA,B,A,50.96343,-0.9191891,-0.9191891,668100.0,134545.0,7.574,0.7944,0.0372,0.056,,,,0.84,0.09,0.34,0.78,0.68,2
1390454436,0,EA,B,A,6.99127,-0.6091524,-0.6091524,297000.0,100524.0,6.492,0.9219,0.0212,0.0087,,,,0.8,0.08,0.94,0.65,0.46,2
561993333,0,EA,A,A,98.30333,-0.68497723,-0.68497723,647100.0,154187.0,6.847,0.7483,0.0103,0.195,,,,1.0,0.01,0.79,0.43,0.93,2
499732396,0,EA,A,A,90.39445,0.71196645,0.71196645,415000.0,113608.0,6.643,0.8529,0.0148,0.0889,,,,0.89,0.17,0.31,0.93,0.85,2
1912309413,0,EA,B,A,77.92214,-0.89220035,-0.89220035,377200.0,101321.0,7.911,0.7488,0.0231,0.0577,,,,0.32,0.26,0.74,0.68,0.71,2
826908832,0,RD,A,A,46.8268,0.2989906,0.2989906,213000.0,62144.0,7.285,0.9042,0.0228,0.0241,0.0,11.96,A,0.03,0.61,0.92,0.48,0.48,L
262459851,0,RD,A,A,7.30708,0.21643865,0.21643865,184200.0,41507.0,8.591,0.3629,0.1659,0.0179,,,,0.58,0.15,0.97,0.41,0.54,E
